price,property description,number of bedrooms,number of bathrooms,Location,estate agency
"N38,000,000","Units Of 1,2 &3 Bedroom Apartment",2,2,"Ikate, Ikate Elegushi, Lekki",HTH Annepearl Ltd
"N130,000,000",Massive Four (4) Bedrooms Pent Apartment with Bq,4,5,"Nike Art Gallery , Lekki Phase 1, Lekki",Space & Sphere
"N180,000,000",Newly 3 Bedroom Flat With Bq,3,3,"Cooper Road, Ikoyi",Avitro Real Estate and Projects Limited
"N68,000,000",Contemporary 2 Bedroom Apartment,2,2,"Lekki Phase 1, Lekki",Times Homes Realtors
"N140,000,000",Luxury 3 Bedroom Apartment With Bq,3,3,"Off Alexander Avenue, Ikoyi",Dolphin Shelters
"N55,000,000",Lovely 3 Bedroom Apartment With Bq,3,3,"Oregun, Ikeja",Yebellz Enterprise
"N120,000,000",Luxurious Waterfront Apartments and a Pent House,4,5,"Lekki Phase 1, Lekki",Northpoint Realty Homes
"N75,000,000","Ivy Suite - Maisonette Terrace, Ogudu GRA Ikeja",3,4,"Ogudu Gra, Alausa, Ikeja",ATOBE Construction Company Limited
"N38,000,000","Luxury 3 Bedroom flats with Bq in an Estate in Agungi, lekki",3,3,"Ajiran Road, Agungi, Lekki",Maxville Investment Inc
"N11,000,000",Tastefully finished One (1) Bedroom Apartment,1,2,"Abijo, Lekki Phase 2, Lekki",Space & Sphere
"N28,000,000",Top Notch 2 Bedroom Flat For Sale,2,2,"Orchid Road, Lafiaji, Lekki",Durock Environ Concept
"N1,330,000,000",5 Bedroom Furnished And Unfurnished Penthouse Apartment,5,5,Victoria Island,Island Luxury
"N30,000,000",Fully Serviced 2 Bedroom Flat With Excellent Finishing,2,2,"Ikota, Lekki",Icebridge Homes
"N13,950,000",Lovely 3 Bedroom Apartment,3,3,"Oribanwa, Ajah",Terminax Union Ltd
"N65,000,000",4 bedroom LUXURY at LEKKI,4,5,"Lekki, Lekki Phase 2, Lekki",ITJ Realtors
"N89,000,000",Newly Built Studio Apartment,1,2,"Osbourne, Lagos Island",
"N110,000,000",Newly Completed Serviced 3 Bedroom Apartments With Bq,3,3,"Parkview Estate, Ikoyi",Dolphin Shelters
"N80,000,000",Lovely Built 3 Bedroom Flat,3,4,"Lekki , Lekki Phase 1, Lekki",Northpoint Realty Homes
"N27,000,000","Units Of 1,2&3 Bedroom Apartments",2,2,"Abraham Adesanya Road, Abraham Adesanya, Ajah",Exclusive Realtors and Properties
"N30,000,000",Luxury 1 bedroom flat,1,1,"Lekki, Ikate Elegushi, Lekki",Odogwu Property & C.O
"N25,000,000",Tastefully Finished 2 Bedroom Apartment,2,2,"Orchid Hotel Road, Chevron Drive, Lekki",Teewhy Properties
"N45,000,000",2 Bedroom Flat,2,2,"Ikate Bus Stop, Lekki Phase 1, Lekki",Emat Properties
"N62,700,000",Spacious 2 Bedroom Flats,2,2,"Lekki Phase 1, Lekki",Icebridge Homes
"N240,000,000",3 Bedroom Maisonettes + 3 Bedroom Flats + Studio Apartment,3,4,"Misere Luxury Estate, Gerald Road, Ikoyi",Wellpro Development and Real Estate
"N25,000,000",2 Bedroom Flat,2,3,"Orchid Hotel Road, Chevron Drive, Lekki",
"N25,000,000",Spacious 2 Bedroom Apartment,2,2,"Chevron Tollgate, Chevron Drive, Lekki",Leadhomes luxury and apartments
"N47,000,000","Newly Built 2Bedroom Flat all ensuite with a store, Guest toilet and fitted kitchen in Ikate. N47m",2,2,"Ikate-Elegushi, Lekki, Lagos, Ikate Elegushi, Lekki",EKO Criterion Consultancy Services
"N30,000,000",Contemporary open kitchen 2 bedrooms luxury apartments,2,3,"Off Lekki-Epe Expressway Inside A Close , Osapa, Lekki",Spoton Realty and Construction
"N49,000,000",Lovely 3 Bedroom Terrace Houses,3,3,"Abraham Adesanya, Ajah",Arkbricks Realtors Limited
"N29,500,000",3 Bedroom Terrace With Bq,3,3,"Abijo, Ajah",Arkbricks Realtors Limited
"N38,000,000",Serviced 2 Bedroom Apartment with Good Amenities,2,3,"Brookes Court, Osapa Lekki, Osapa, Lekki",Joossa Realtors
"N80,000,000",Luxury 6 Units Of 3 Bedroom Flat & 2 Units Of 4 Bedroom Penthouse,3,3,"Oniru, Victoria Island",Jason Buttons Realty
"N65,000,000",Luxury Brand New 3 Bedroom Flat for Sale in Oniru,3,3,"Oniru, Victoria Island",Rosemond Hills Limited
"N135,000,000",4 Bedroom luxurious Apartment with Bq,4,4,"Lekki, Lekki Phase 1, Lekki",Yebellz Enterprise
"N43,000,000",Serviced 3 Bedroom Apartment with Good Amenities,3,4,"Brookes Court, Osapa , Osapa, Lekki",Joossa Realtors
"N35,000,000",Urban Prime Three(3)Annex,2,2,"Abraham Adesanya, Off Ogombo Road, Right Across Urban Prime Three, Ajah",Paradise Realty
"N159,000,000",Units Of 2 And 3 Bedroom Flats,3,3,"Bourdillon Road, Ikoyi",
"N37,000,000",Lovely Fully furnished 1br short let for sale.,1,2,"Lekki, Ikate Elegushi, Lekki",Stephens Aims Real Estate Ltd
"N20,000,000",Lovely Studio Apartment With Fitted Kitchen,1,1,"Pine Court, Osapa, Lekki",MS Realtors
"N419,000,000",Newly Built Luxury 3 Bedroom Apartment,3,4,"Bourdillon, Ikoyi",
"N27,000,000","Units Of 1,2 &3 Bedroom Apartment",2,2,"Abraham Adesanya, Ajah",Teewhy Properties
"N200,000,000",Upscale 4 Bedroom Penthouse,4,4,"Vi, Oniru, Victoria Island",CWRE Lagos
"N55,000,000",Classic 3 Bedroom Flat For Sale With Bq,3,3,"Lekki Right Side, Lekki Phase 1, Lekki",Terminax Union Ltd
"N70,000,000",Modern 3 Bedroom Apartment.,3,3,"Lekki Right, Lekki Expressway, Lekki",Luglio Real Estate
"N152,000,000",Luxury 3 Bedroom Apartment with 2 Sitting Rooms and Bq,3,4,"Off Banana Island Road, Ikoyi",Space & Sphere
"N49,000,000",Serviced 4 Bedroom Apartment with Good Amenities,4,5,"Brookes Court, Lekki, Osapa, Lekki",Joossa Realtors
"N25,000,000",Newly Built 2 Bedroom Apartments For Sale,2,2,"Orchid Road, Ikota, Lekki",JOA Homes
"N200,000,000",Modern 4 Bedroom Flat,4,5,"Thompson Avenue, Ikoyi",
"N65,000,000",Lovely 3 Bedroom Flat Vacant For Sale,3,3,"Behind High Court Ikeja Gra, Ikeja G.R.A, Ikeja",Globak homes
"N25,000,000",Two(2) Bedroom Apartment For Sale,4,4,"Orchid Hotel Road, Lekki , Chevron Drive, Lekki",Paradise Realty
"N63,000,000",Premium 3 Bedroom Apartment,3,3,"Ikate, Ikate Elegushi, Lekki",CW Real Estate
"N200,000,000",Luxury Fully Serviced 4 Bedroom Apartment with Bq,4,5,"Old Ikoyi, Ikoyi",Space & Sphere
"N32,000,000",20years Payment Plan 2bedroom Apartment Ikate Lekki Phase1,2,3,"Ikate, Lekki Phase 1, Lekki",Mcdedict Homes Limited
"N45,000,000",3Bedroom Maisonette in a Mini Estate at Igbosuku by Ikate.,3,3,"Igbosuku, By Nicon Town, Before Shoprite, At Jakande., Ikate Elegushi, Lekki",EKO Criterion Consultancy Services
"N130,000,000",3 Bedrooms + 1 Bq Blocks Of Flat,3,3,Ikoyi,Verified properties Limited
"N45,000,000",Luxury 3 Bedroom Apartments,3,3,"Lekki Phase 1, Lekki",CW Real Estate
"N720,000,000",Luxury 8 Units Of 3 Bedroom Block Of Flat,3,3,"Off Admiralty Way, Lekki Phase 1, Lekki",Ubosi Eleh And Co
"N22,000,000","Blocks Of 1,2&3 Bedroom Apartment",3,3,"Inside Abijo Gra. 4 Minutes’ Drive From Novare Mall (Shoprite Sangotedo), Abijo, Ajah",De Uriels Empire
"N130,000,000",Newly Built 4 Bedroom Apartment,3,3,Ikoyi,CWRE Lagos
"N37,000,000","Phoenix Apartments, Surulere",3,3,"Aguda Surulere, Lagos Nigeria , Aguda , Surulere",Paradise Realty
"N600,000,000",Luxury 3 Bedroom Apartment,3,4,Ikoyi,CWRE Lagos
"N150,000,000",Premium 3 Bedroom Apartment,3,4,Ikoyi,CWRE Lagos
"N150,000,000",Premium 3 Bedroom Apartment,3,3,Ikoyi,CWRE Lagos
"N55,000,000",Premium 1 Bedroom Apartment,1,1,"Banana Island Road, Ikoyi",CWRE Lagos
"N85,000,000",Premium 2 Bedroom Apartment,2,2,"Banana Island Road, Ikoyi",CWRE Lagos
"N90,000,000",1004 four bedroom apartment,4,5,"1004, Victoria Island",Island Luxury
"N55,000,000",3 Bedroom Maisonette For Sale,3,3,"Near Whitesand School, Lekki Phase 1, Lekki",
"N250,000,000",Premium 4 Bedroom Pent House,4,4,"Old Ikoyi, Ikoyi",CWRE Lagos
"N130,000,000",Luxury 3 Bedroom Apartment,3,3,"Onikoyi, Ikoyi",CWRE Lagos
