price,property description,number of bedrooms,number of bathrooms,Location,estate agency
"N35,000,000",Block Of 4 Numbers 2 Bedroom Flats And 4 Numbers Mini Flats,4,4,"Liasu Road Coucil, Idimu, Idimu, Abeouka Express",Femi Akinlusi and Co
"N150,000,000",Brand New 3 Bedroom Flat For Sale,3,3,"Off Tumbull Avenue,, Ikoyi",Island Luxury
"N8,500,000",Two (2) Bedroom Apartment,2,3,"Okunraiye, Ibeju Lekki, Ajah",Space & Sphere
"N19,000,000","Units Of 1,2,3 &4 Bedroom Apartment",3,3,"Off Monastery Road, Behind Novare Mall (Shoprite), Sangotedo, Ajah",Terminax Union Ltd
"N65,000,000",Luxury Built 3 Bedroom Apartment,3,3,"Oniru, Victoria Island",CWRE Lagos
"N7,500,000",One (1) Bedroom Tastefully finished apartment,1,2,"Okunraiye, Ibeju Lekki, Ajah",Space & Sphere
"N40,000,000",Newly Built 3 Bedroom Flat With Bq,3,3,"Alagomeji, Yaba",XLHomes
"N340,000,000",Luxurious 3 Bedroom Apartment For Sale,3,3,"Eko Atlantic City,, Victoria Island",Island Luxury
"N40,000,000",Milverton estate,3,4,"Shoprite Road, Osapa, Lekki",
"N290,000,000",Fully furnished terace houses,3,4,"Banana Island, Ikoyi",
"N150,000,000",Luxury Built and Well Spacious 3 Bedroom Flat with 1 Room Bq with Recreational Area. Swimming Pool and Elevator,3,4,"Onikoyi, Off Banana Island Road, Ikoyi",Stephens Aims Real Estate Ltd
"N45,000,000",3 bedroom flat with bq in Yaba Lagos,4,5,Yaba,IOA Infinite Service
"N45,000,000",Lovely 3 Bedroom Flats And Pent House,4,3,Yaba,Globak homes
"N20,500,000","Lovely 1,2,3 Bedroom Apartment For Sale",2,2,"Abraham Adesanya, Ajah",Davree Limited
"N95,000,000",Newly Built 3 Bedroom Apartment For Sale,3,3,"Parkview, Parkview Estate, Ikoyi",Island Luxury
"N45,000,000",Luxurious 2 Blocks Of 3 Bedroom Flat & 3 Bedroom Penthouse,3,3,"Oregun, Ikeja",Wellpro Development and Real Estate
"N40,000,000",12 Units Of 3 Bedroom Flats,3,3,"Alagomeji, Yaba",Jerman Ventures Co Ltd
"N9,500,000",Lovely Flats & Apartments,1,1,"Ibeju, Ibeju Lekki, Ajah",Core Real Estate Realtor
"N45,000,000",Premium 3 BEDROOM APARTMENT,3,3,"Lekki Phase 1, Lekki",CW Real Estate
"N10,500,000",Fairfield off plan Apartments,2,2,"Abijo, Ajah",Core Real Estate Realtor
"N13,950,000","3Bedroom Flat in a gated estate at Oribanwa, Lekki, Lagos",3,3,"Oribanwa, By Davitech Filling Station, Before Lakowe, Ibeju Lekki, Ajah",EKO Criterion Consultancy Services
"N31,000,000",Luxury and serviced 2 bedroom flats,2,3,"Inside A Close In Agungi After Domino’S Pizza , Agungi, Lekki",Spoton Realty and Construction
"N16,000,000",Apartments For Sellat Aguda Surulere Lagos.,1,1,"Bolaji Banwo, Aguda , Surulere",The Overflow Properties
"N45,000,000",Classic 3 Bedroom House,3,3,Ebute Metta,Dolphin Homes & Investments
"N35,000,000",A Luxury 2 Bedroom Flat,2,3,"Ikate, Ikate Elegushi, Lekki",Dupson Realty Limited
"N60,000,000",Well Finished 2 Bedroom Flat With A BQ,2,2,"Off Admiralty Way, Lekki Phase 1, Lekki",SOLIDWALLS PROPERTIES LIMITED
"N120,000,000",Luxury 3 Bedrooms Penthouse Maisonette,3,2,"Osborne Phase 2, Ikoyi",Beverly & Sam Properties
"N75,000,000","Luxury 3 Bedroom Apartment With Boys Quarter Adjoining Eko Atlantic At Oniru, Vi",3,3,"Water Corporation Drive, Oniru, Victoria Island",Deluxe Residences Ltd
"N30,000,000",Classic 3 Bedroom Duplex,3,3,"Chevron, Chevron Drive, Lekki",Dupson Realty Limited
"N55,000,000",3 bedroom apartment with a room bq,3,3,"Bayview Estate, Ikate Elegushi, Lekki",MISA Limited
"N150,000,000",3 Bedroom Classy Apartments and Penthous,3,3,"Third Avenue, Banana Island, Ikoyi",Beverly & Sam Properties
"N40,000,000","Spacious and Luxury 0ne Bedroom Apartment Along Water Corporation Drive, Oniru, VI",1,2,"Water Corporation Drive, Oniru, Victoria Island",Deluxe Residences Ltd
"N550,000,000",Ultra-luxurious 5 Bedroom Terrace House,5,5,"First Avenue, Banana Island, Ikoyi",Beverly & Sam Properties
"N27,000,000",3 Bedroom Aprtment,3,3,"Along Mcclum Street/Moloney, Ebute Metta",
"N42,000,000",Two Bedroom Luxury Apartment In Prime Location,2,2,"Camberwall Advantage, Ikate Elegushi, Lekki",Edgeline Properties
"N40,000,000",Two Bedroom Luxury Apartment In Premium Location,2,2,"Camberwall Advantage, Ikate Elegushi, Lekki",Edgeline Properties
"N68,000,000",Luxury 3 Bedroom Penthouse With BQ In Prime Location,3,3,"Camberwall Advantage, Ikate Elegushi, Lekki",Edgeline Properties
"N70,000,000",Luxury 3 Bedroom Penthouse With BQ In Prime Location,3,3,"Camberwall Advantage, Ikate Elegushi, Lekki",Edgeline Properties
"N75,000,000",Distress vendor,3,4,"Off Alfred Rewane , Ikoyi",
"N19,000,000",Beautiful 2 Bedroom Apartment - Camberwall Courts 2,2,2,"Abijo Gra, Abijo, Ajah",Edgeline Properties
"N24,000,000",Beautiful 3 Bedroom Apartment - Camberwall Courts 2,3,3,"Camberwall Courts 2, 4 Mins From Shoprite, Abijo, Ajah",Edgeline Properties
"N7,500,000",1 & 2 bedroom flat apartment in Ibeju-Lekki Close to Free Trade Zone,2,2,"Around Lekki Free Trade Zone, Ibeju Lekki, Ajah",Choice Property
"N14,300,000","1,2 & 3 Bedroom Apartments and Terraces",2,2,"Ajayi Apata Behind Fara Park Sangotedo, Sangotedo, Ajah",EbbyHomes Property NIG LTD
"N38,000,000",2 & 3Bedroom Apartments At Ikate Lekki For Sell,2,2,"Off Kunsela Road Close To Lekki Phase 1, Ikate Elegushi, Lekki",The Overflow Properties
"N10,000,000",??Investors Dont Be Left Out????,1,2,"Ajayi Apata, Behind Fara Park Estate , Sangotedo, Ajah",EbbyHomes Property NIG LTD
"N70,000,000",3 Bedroom Serviced Apartment,3,3,"Ikate Elegushi, Lekki",The Beehive Realty
"N1,100,000,000",8 Units of 3 Bedroom Apartments With Good Amenities,3,4,"Off Kasumu Ekemode Street, Victoria Island",Joossa Realtors
"N17,000,000",Terrace Duplex & Apartment,2,2,"Abijo, Ajah",HTH Annepearl Ltd
"N85,000,000",Serviced 3 Bedroom Apartment,3,3,"Lekki Phase 1, Lekki",Cresco Homes and Properties
"N50,000,000",2 stories building of 4 & 3bedroom flats with 8nos of mini flats,3,3,"Oriola Road Alapere, Alapere, Ketu",LKO Properties
"N110,000,000",Luxury flats,3,4,"Off Bourdillon Road, Ikoyi",
"N150,000,000",Brand New 3 Bedroom Apartment,3,3,"Off Banana Island Road, Ikoyi",Island Luxury
"N27,500,000",3 Bedroom Luxury Flat - Smart Home,3,3,"Treasure Homes Estate, Ilasamaja, Mushin",Quolar Global Services
"N40,000,000",A Storey Building Consist Of 4 Units Of 3 Bedroom Flat & Units Of Mini Flat,3,3,"Idimu, Abeouka Express",LKO Properties
"N90,000,000",6 Unit 3 Bedroom Flat,3,3,"Off Obafemi Awolowo Way. Afariogun, Ikeja , Ikeja",LKO Properties
"N360,000,000",Premium 4 Bedroom Terraced Duplex,4,4,Ikoyi,CWRE Lagos
"N13,000,000","1,2&3 Bedroom Apartments At Milton Awoyaya Lekki",1,1,"Milton Estate, Behind Coscharis Motors,, Awoyaya, Ajah",The Overflow Properties
"N260,000,000",Luxury 4 Numbers Of 3 Bedroom Flat,3,3,"Off Fatai Arobieke, Lekki Phase 1, Lekki",MS Realtors
"N140,000,000",3 Bedroom Flat For Sale,3,3,"Old, Ikoyi",Island Luxury
"N17,000,000","Block Of 1,2,&3 Bedroom Apartments And Terraces",2,2,"Inside Abijo Gra, Abijo, Ajah",Verified properties Limited
"N57,000,000",Lovely 3 Bedroom Flat With A Maid Room,3,3,"Oniru, Victoria Island",MS Realtors
"N45,000,000","Luxury 4 Bedroom Terrace Duplex with Bq For Sale in a serviced Estate in Chevron Drive, lekki",4,5,"Off Chevron Drive , Chevron Drive, Lekki",Maxville Investment Inc
"N80,000,000",A Block of 9 Flats of 2 Bedrooms,2,2,"Lawanson, Surulere",Femi Akinlusi and Co
"N42,000,000",Serviced And Well Finished 3 Bedroom Flat,3,3,"Osapa London, Osapa, Lekki",Spoton Realty and Construction
"N55,000,000",Brand New 3 Bedroom Flat,3,3,"Lekki Phase 1, Lekki",Rosemond Hills Limited
"N37,000,000",Solid Block of 4 Units of 3 Bedroom Flats in Alagbole Ojodu Extension,3,4,"Alagbole Ojodu Extension , Ojodu, Ikeja",Loyalty Property
"N42,000,000","Exquisite 2 Bedroom Luxury Flats With 24hrs Power & Central Swimming Pool @ Ikate, Lekki",2,3,"Chisco Ikate Elegushi , Ikate Elegushi, Lekki",Property Last  Bus Stop
"N13,500,000",5 Year Payment Plan 1 And 2 Bedroom Apartment,2,2,"Ibeju, Ibeju Lekki, Ajah",Leadhomes luxury and apartments
"N140,000,000",Luxuriously Furnished High Rise 3 Bedroom Apartment,3,3,"Old, Ikoyi",Island Luxury
"N474,974,977",Classic 4 Bedroom Apartment On 7Th Floor,4,4,Victoria Island,Henshodeg Properties
"N60,000,000","For Sale:Fully Furnished Service 2bedroom Flat. Ikate, Lekki",2,2,"Ikate , Ikate Elegushi, Lekki",Mcdedict Homes Limited
"N13,750,000","2Bedroom Flat in a gated estate at Abijo G.R.A, all rooms ensuite with a visitor's toilet.",2,2,"Abijo G.R.A, Abijo, Ajah",EKO Criterion Consultancy Services
"N70,000,000",Exquisite 3 Bedroom Flat In Victoria Island,3,4,"Water Coperation Drive, Oniru, Victoria Island",DELUXE RESIDENCES
"N88,000,000",2Units to go. 4Bedroom Apartment in Banana Island Road Ikoyi,4,5,"Banana Island Road, Banana Island, Ikoyi",Mcdedict Homes Limited
"N19,800,000","Lovely 2,3,&4 Bedroom Flats,Terrace And Semi Detached Duplex",3,3,"Oribanwa, Ajah",Davree Limited
"N55,000,000",Spacious 3 Bedroom Flat for Sale in Oniru,3,3,"Oniru, Victoria Island",Rosemond Hills Limited
"N90,000,000",6 Units Of 3 Bedroom Block Of Flat,3,3,"Alausa, Ikeja",Wellpro Development and Real Estate
"N20,000,000",Luxury One Bedroom Mini Flat,1,1,"Megamound Estate, Ikota, Lekki",Henshodeg Properties
"N50,000,000",Adam Prescott Flat,3,3,"Cadogan Place Estate, Castlerock Ave, Jakande, Lekki",Osekemi Properties Nig Lt
"N38,000,000","For sale... Newly built 6nos of 3br flat off allen avenue in a very serured close, ikeja, lagos",3,4,"Allen Ikeja Lagos, Allen Avenue, Ikeja",Loyalty Property
"N118,000,000",2 & 3 Bedroom Apartments For Sale,2,2,"3Rd Avenue , Banana Island, Ikoyi",
"N25,000,000",Massive And Well Built 3(no) 3 Bedroom Flat With A Mini Flat,3,3,"Bashorun Busstop Igbogbo Ikorodu Lagos, , Ikorodu, Ikorodu Road",HighStreet Properties
"N55,000,000",Newly Built Block Of 4 Numbers Of 2 Bedroom Flat,4,4,"Gemade Estate, Egbeda, Agege",Femi Akinlusi and Co
"N5,500,000",Newly Built Miniflat For Sale,1,1,Ajah,Dupson Realty Limited
"N29,500,000",Affordable 4 bedroom flat in Lagos homes ogba ikeja,4,3,"Lagos Homes Ogba Ikeja , Ogba, Ikeja",Loyalty Property
"N75,000,000",Luxury 3 Bedroom Flat With Maid's Room Adjoining Eko Atlantic At Oniru Vi,3,3,"Water Corporation Drive, Oniru, Victoria Island",Deluxe Residences Ltd
"N165,000,000",Well Built Units Of 3 Bedroom Apartment With Bq,3,3,Ikoyi,Astroglobe Estates & Investment Limited
"N295,000,000","Luxury 2, 3 and Penthouse Apartments in Eko Atlantic City -From $/Negotiable",3,4,"Eko Pearl Tower, Eko Atlantic City, Victoria Island",Joossa Realtors
"N100,000,000","Luxury and fully serviced 3 Bedroom Flat in Maryland, Lagos",3,4,"Off Mobolaji Bank-Anthony Road, Maryland, Ikeja",Maxville Investment Inc
"N55,000,000",Block of four flats with a miniflat bq on plot at akoka yaba,3,3,"Akoka Yaba, Akoka, Yaba",Loyalty Property
"N19,000,000",Units Of 1&2 Bedroom Maisonette,2,2,"Eleko, Ajah",Exclusive Realtors and Properties
"N574,860,000",Beautiful and Elegant 4 bedroom Maisonette,4,4,"Off First Avenue, Banana Island, Ikoyi",Beverly & Sam Properties
"N65,000,000","Luxury 3 Bedroom Flat with Maid's Room, AC, Fitted Kitchen Along Water Corporation Drive, Oniru",3,4,"Along Water Corporation Drive Off Ligali Ayorinde Street, Oniru, Victoria Island",Deluxe Residences Ltd
"N180,000,000",Prince Ademola Osinuga Specials! Newly Built Waterfront 3 Bedroom Apartment + Elevator In Banana Island Estate @N180m,3,3,"Banana Island, Ikoyi",Luxury Bargains Market
"N40,000,000",Standard 2 Bedroom Apartment,2,2,"Ikate, Ikate Elegushi, Lekki",Diamond  Realtors
"N60,000,000",Lovely Serviced 3 Bedroom Flat for Sale at Lekki Right Hand Side,3,3,"Lekki Right Hand Side, Lekki Phase 1, Lekki",Rosemond Hills Limited
"N68,000,000",3 Bedroom Apartment With Bq(Penthouse),3,3,"Ikate, Ikate Elegushi, Lekki",Diamond  Realtors
"N20,000,000",Halleyvine Residence 2 Bedroom Apartments,2,2,"Behind Monastery Road, Sangotedo, Ajah",Chateau Royal Real Estate Ltd
"N26,000,000",Halleyvine Residence,3,3,"Behind Monastery Road, Sangotedo, Ajah",Chateau Royal Real Estate Ltd
"N762,411,932",Lovely 3 Bedroom penthouse flat,3,3,"Eko Atlantic City Victoria Island, Victoria Island",Wellpro Development and Real Estate
"N90,000,000",3 Bedroom Luxury Flat with Boy'S Quarter,3,3,"Providence Street, Lekki Phase 1, Lekki",Quolar Global Services
"N80,000,000",Hurry up and get brand new ground floor 3bedroom flat with BQ,3,3,"Lekki Phase 1, Lekki",Wellpro Development and Real Estate
"N80,000,000",Beautiful 3bedroom maisonette with BQ,3,3,"Lekki Phase1, Lekki Phase 1, Lekki",Wellpro Development and Real Estate
"N39,000,000",3 Bedroom Apartment,3,3,"Lekky County , Ikota, Lekki",ITJ Realtors
"N75,000,000",Hurry up and get 3bedroom flat with BQ,3,3,"Lekki Right, Lekki Phase 1, Lekki",Wellpro Development and Real Estate
"N60,000,000",Serviced 3 bedroom flat,3,3,"Ikate, Ikate Elegushi, Lekki",4TEE PROPERTIES
"N75,000,000",lovely 3 bedroom flat with BQ,3,3,"Lekki Phase 1, Lekki",4TEE PROPERTIES
"N110,000,000","Units Of 2,3 &5 Bedroom Luxury Apartments",3,3,"Osborne, Ikoyi",ITJ Realtors
"N70,000,000",Luxury 4 Bedroom Apartment With Penthouse In Secured Estate,4,4,"Ocean Bay Estate, Orchid Road, By Chevron Toll Gate, Ikota, Lekki",Edgeline Properties
"N14,000,000",Halleyvine Residence,1,1,"Behind Monastery Road, Sangotedo, Ajah",Chateau Royal Real Estate Ltd
"N11,000,000",Halleyvine Residence Miniflat,1,1,"Behind Monastery Road, Sangotedo, Ajah",Chateau Royal Real Estate Ltd
"N65,000,000",Newly Built 3 Bedroom Flat For Sale In Oniru,3,3,"Oniru, Victoria Island",Elizabeth Han Services Limited
"N2,660,000,000",Ikoyi Seven Star Lagoon View 8 Units 4 Bedroom Apartment,4,4,Ikoyi,Island Luxury
"N35,000,000",Newly completed 2 bedroom flat for sale!!!,2,2,"Megamound Estate, Ikota, Lekki",F.T.A Global Resources
"N175,000,000",Modern 3 Bedroom Apartment,3,3,Ikoyi,CWRE Lagos
"N17,000,000",Spacious 2 Bedroom Apartment,2,2,"Awoyaya, Ajah",Diamond  Realtors
"N130,000,000",Luxury 1 Bedroom Apartment,1,2,Ikoyi,CWRE Lagos
"N24,000,000",3 Bedroom Apartment,3,3,"Abijo Gra, Abijo, Ajah",Diamond  Realtors
"N250,000,000",Premium 3 Bedroom Apartment,3,3,"Banana Island, Ikoyi",CWRE Lagos
"N60,000,000",Premium 2 Bedroom Apartment,2,2,"Lekki Phase 1, Lekki",CW Real Estate
"N350,000,000",Upscale 3 Bedroom Pent House,3,4,"Old Ikoyi, Ikoyi",CWRE Lagos
"N300,000,000",Premium 4 Bedroom Apartment,4,4,"Old Ikoyi, Ikoyi",CWRE Lagos
"N350,000,000",Premium 4 Bedroom Maisonette,1,1,"Ikoyi, Banana Island, Ikoyi",CWRE Lagos
"N70,000,000",3 Bedroom Apartment with a Room BQ in a fully serviced Estate.,3,3,"Lekki Phase 1, Lekki",
"N65,000,000",Premium 2 Bedroom Apartment,2,2,"Vi, Oniru, Victoria Island",CWRE Lagos
"N25,000,000",Luxurious 3 Bedroom Flats,3,3,"Ilamoye-Isolo, Isolo",FA And Associates
"N30,000,000",Terraces and block of flats,3,3,"Atlantic Layout Estates Lagos Business School, Ajah",Jason Buttons Realty
"N28,000,000",Tastefully Finished 2 Bedroom Apartment,2,2,"Orchid Road, Chevron Drive, Lekki",Terminax Union Ltd
"N5,000,000,000",21 Units Of Luxury Flats Waterfront,3,3,"Off 2Nd Avenue, Banana Island, Banana Island, Ikoyi",Dolphin Homes & Investments
"N68,000,000",Waterfront 2 Bedroom Flat For Sale,2,2,"Lekki Phase 1, Lekki",Evening Primerose Realty
"N78,000,000",Blue Water View 2 Bedroom Apartment,2,2,"Lekki, Lekki Phase 1, Lekki",Northpoint Realty Homes
"N75,000,000",Luxury 3 Bedroom Apartment,3,4,"Oniru, Victoria Island",Northpoint Realty Homes
"N56,000,000",Luxury 3 Bedroom Apartment,3,3,"Ikate, Ikate Elegushi, Lekki",Dlizz Properties
"N65,000,000",Brand New 3 Bedrooms Apartments with 1 Room Bq,3,4,"Lekki Rhs, Lekki Phase 1, Lekki",Space & Sphere
"N26,000,000",Fabulous 2 Bedroom Apartment,2,2,"2Nd Toll Gate, Chevron Drive, Lekki",XLHomes
"N65,000,000",Spacious 3 Bedroom Apartment With Bq,3,3,"Lekki, Lekki Phase 1, Lekki",Leadhomes luxury and apartments
"N47,000,000",Luxurious 2 Bedroom Apartment,2,2,"Ikate, Ikate Elegushi, Lekki",Giwa Realty
"N70,000,000",Fully Serviced Three Bedroom Flat with Bq,3,4,"Off Palace Road, Oniru, Victoria Island",Space & Sphere
"N47,000,000",Luxurious 2 Bedroom Apartment,2,2,"Ikate, Ikate Elegushi, Lekki",Yebellz Enterprise
"N19,000,000",Standard 2 Bedroom Apartment,2,2,"Inside Abijo Gra, Abijo, Ajah",Lumide Properties
"N24,000,000",Fabulous 3 Bedroom Apartment,3,3,"Inside Abijo Gra, Abijo, Ajah",Lumide Properties
"N25,000,000",Spacious 2 Bedroom Flat,2,2,"Orchid Road Eleganza, Chevron Drive, Lekki",Jason Buttons Realty
"N170,000,000",Massive 3 Bedroom Flat With Bq,3,3,"Banana Island, Ikoyi",Leadhomes luxury and apartments
"N520,000,000","4 Bedroom Penthouse, Maisonettes & Apartment",4,4,"Khristos, Ikoyi",
"N69,000,000",Blue Water View 2 Bedroom Apartments,2,2,"Lekki Phase 1, Lekki",Fablessing & Son’s Real Estate
"N16,000,000",Spacious One Bedroom Apartment,1,1,"Chevron Tollgate, Chevron Drive, Lekki",Leadhomes luxury and apartments
"N17,000,000","Block Of 1,2 & 3 Bedroom Apartments And Terrace",2,2,"Abijo Gra, Abijo, Ajah",Teewhy Properties
"N100,000,000",Luxurious 3 bedroom Apartments for Sale,3,3,"Abacha Estate (2Nd Avenue Estate), Ikoyi",Island Luxury
"N170,000,000",Standard 4 Units Of 3 Bedroom Flats Ensuite,12,16,"Idado, Lekki",
"N33,000,000",Spacious 3 Bedroom Apartment,3,3,"Chevron Tollgate , Chevron Drive, Lekki",Leadhomes luxury and apartments
"N38,000,000",Serviced 2 and 3 bedroom apartment,3,3,"Vintage Height Behind House On The Rock, Ikate Elegushi, Lekki",Terminax Union Ltd
"N750,000,000",Lovely 12 Units of 3 Bedroom Apartments,3,4,"Off Palace Road, Oniru, Oniru, Victoria Island",Joossa Realtors
"N210,000,000",Newly Built 3 Bedroom Apartments,3,3,"Falomo , Ikoyi",
"N22,000,000","Units Of 1,2 And 3 Bedroom Apartment",3,3,"Abijo, Ajah",Terminax Union Ltd
"N300,000,000",Luxury 3 bedroom apartment for sale and for lease at Banana island Ikoyi Lagos,3,3,"Banana Island Lagos, Banana Island, Ikoyi",Rosemond Hills Limited
"N47,000,000",Luxurious 2 Bedroom Apartment,2,2,"Ikate, Ikate Elegushi, Lekki",Hopskale Real Estate
"N170,000,000",Spacious 3 Bedroom Apartment With Bq,3,3,"Banana Island, Ikoyi",Leadhomes luxury and apartments
"N19,000,000",Lovely 1 & 2 Bedroom Maisonette,2,2,"Five Oaks Residences, Eleko , Eleko, Ajah",Teewhy Properties
"N80,000,000",Premium 2 Bedroom Apartment,2,3,"Vi, Oniru, Victoria Island",CWRE Lagos
"N160,000,000",Cozy 3 Bedroom Flats with BQ,3,3,"A44, Banana Island, Ikoyi",CWRE Lagos
"N55,000,000",Executive 3 Bedroom Flat for Sale in Ikeja,3,3,"Opebi,Ikeja, Opebi, Ikeja",Choice Property
"N22,000,000",3 Bedroom Flat Apartment For Sale in Sasha Akowonjo,3,3,"Sasha Akowonjo, Akowonjo, Agege",Choice Property
"N69,000,000",Blue Water View 2 Bedroom Apartments,2,2,"Lekki, Lekki Phase 1, Lekki",Hopskale Real Estate
"N45,000,000",Luxury 1-bedroom flat,1,1,"A. J. Marinho Drive, Victoria Island",Gloch Stylistic Limited
"N85,000,000",Luxury 3Bedroom Flat with a Servant Quarter in a Oniru (Off Plan Sale),3,3,"Off Palace Road, Oniru, Oniru, Victoria Island",EKO Criterion Consultancy Services
"N305,000,000",Premium 3 Bedroom Maisonette,3,3,Ikoyi,CWRE Lagos
"N28,000,000",Classic 3 Bedroom Flat,3,3,"Eleganza, Lekki Expressway, Lekki",Jason Buttons Realty
"N16,000,000",Distress 3 Bedroom Apartment For Sale,3,3,Ajah,Leadhomes luxury and apartments
"N170,000,000",Luxuriously finished 3 bedroom apartment (to be ready in Dec.),3,3,"Off Adeola Odeku, Victoria Island",Island Luxury
"N140,000,000",Fully Furnished New 4 Bedroom Fully Fitted Apartment,4,4,"Parkview Estate, Ikoyi",Island Luxury
"N10,500,000","1, 2 & 3 Bedroom Flat Apartment For Sale in Sangotedo With 12 Months Installment Plan",3,3,"Off Monastery Road Behind Novare Mall (Shoprite), Sangotedo, Ajah",Choice Property
"N400,000,000",Newly Built 4 Bedroom Apartment For Sale,4,4,"Off Tumbull Drive,, Ikoyi",Island Luxury
"N28,000,000",Newly Built 2 Bedroom Apartment For Sale,2,2,"Ikota, Lekki",Cresco Homes and Properties
"N65,000,000",Tastefully Finished Newly Built Serviced 3 Bedroom Flat With Bq,3,3,"Off Oniru New Market Road, Lekki Phase 1, Lekki",SOLIDWALLS PROPERTIES LIMITED
"N28,000,000",Serviced And Luxuriously Finished 1 Bedroom Flat,1,1,"Osapa London, Osapa, Lekki",Spoton Realty and Construction
"N200,000,000",Luxuriously finished 4 bedroom penthouse (to be ready in Dec.),4,4,"Off Adeola Odeku , Victoria Island",Island Luxury
"N16,000,000",Lovely One Bedroom Apartment,1,1,"Abraham Adesanya, Ajah",Leadhomes luxury and apartments
"N16,000,000",Lovely 3 Bedroom Apartment For Sale,3,3,"Lekki, Lekki Phase 2, Lekki",Leadhomes luxury and apartments
"N150,000,000",Lovely 3 Bedroom Flat For Sale,3,3,"Adeyemi Lawson Road, Ikoyi",MS Realtors
"N40,000,000",Units Of 3 Bedroom Apartments For Sale,3,3,"Ikate, Ikate Elegushi, Lekki",Leadhomes luxury and apartments
"N35,000,000",3 Bedroom Apartment With Bq,3,3,"Agungi, Lekki",Hopskale Real Estate
"N16,000,000",Lovely One Bedroom Apartment,1,1,"Abraham Adesanya, Ajah",Bot Concept Realtors
"N22,000,000",Beautiful 2 Bedroom Apartment,2,2,"Abraham Adesanya, Ajah",Leadhomes luxury and apartments
"N29,000,000",Spacious 3 Bedroom Apartment,3,3,"Ajah, Abraham Adesanya, Ajah",Leadhomes luxury and apartments
"N22,000,000",2 Bedroom Apartment For Sale,2,2,"Abraham Adesanya, Ajah",Wellpro Development and Real Estate
"N35,000,000",Lovely 3 Bedroom Flat,3,3,"Ogba, Ikeja",Loyalty Property
"N22,000,000",Lovely 2 Bedroom Apartment,2,2,"Abraham Adesanya, Ajah",Bot Concept Realtors
"N29,000,000",Standard 3 Bedroom Apartment,3,3,"Abraham Adesanya, Ajah",Bot Concept Realtors
"N65,000,000",3 bedroom flat for sale with all rooms ensuite at Block B4,3,3,"1004 Housing Estate, Victoria Island",Ubosi Eleh And Co
"N130,000,000",Luxurious 3 Bedroom Apartment For Sale,3,3,"Old, Ikoyi",Island Luxury
"N38,000,000",Newly Built 3 Bedroom Flats,3,3,"Alagomeji, Yaba",XLHomes
"N75,000,000",Luxury 3 Bedroom Flat for Sale in Oniru,3,3,"Oniru, Victoria Island",Rosemond Hills Limited
"N160,000,000",Luxurious 2 Bedroom Apartment For Sale,2,2,"Off Adeola Odeku,, Victoria Island",Island Luxury
"N40,000,000",3 Bedroom Apartment With BQ,3,3,"Ikate, Ikate Elegushi, Lekki",Edgeline Properties
"N110,000,000",Serviced 4 Bedroom Flat For Sale,3,3,"Off Bourdillon Rd Ikoyi., Ikoyi",Dolphin Homes & Investments
"N30,000,000",Newly Built 2 Bedroom Apartment,2,2,"Ikate Elegushi, Lekki",CW Real Estate
"N120,000,000",Luxurious 2 Bedroom Apartments,2,2,"Old, Ikoyi",Island Luxury
"N150,000,000",Fabulous 2 Numbers Of 3 Bedroom Flats,3,3,"Off Banana Island Road, Banana Island, Ikoyi",MS Realtors
"N95,000,000",A Block Of 3 Bedroom House For Sale,3,3,"Off Afariogun Street, Ikeja , Ikeja",Femi Akinlusi and Co
"N110,000,000",6 Flats Of 4 Nos Of 3 Bedroom And 2 Nos Of 2 Bedroom,3,3,"Mende, Ikeja",Femi Akinlusi and Co
"N90,000,000","6 units of 3 bedroom flat, all rooms ensuite",3,3,"Akoka, Yaba",LKO Properties
"N35,000,000",Newly Built 3 Bedroom Flat,3,3,"Dideolu Estate, Ogba, Ikeja",Globak homes
"N180,000,000",2 Block Of 20 Numbers Of 3 Bedroom Flat,3,3,"Omotoye Estate, Agege",Globak homes
"N15,862,500",Newly Built 2 Bedroom Bungalows,2,2,"Beechwood Estate, Bogije, Ibeju Lekki, Ajah",JOA Homes
"N220,000,000","6 Units of Luxury 3 Bedroom Flat for sale at Victoria Island, Lagos",3,4,"Off Adeola Odeku, Victoria Island",
"N19,299,375",Newly Built 3 Bedroom Bungalow,3,3,"Beechwood Estate, Bogije, Ibeju Lekki, Ajah",JOA Homes
"N35,000,000",Flats For Sale In Ojodu Berger,3,2,"Ojodu, Ikeja",Lucid Properties
"N26,437,500",Newly Built 3 Bedroom Detached Bungalow,3,3,"Beechwood Estate, Bogije, Ibeju Lekki, Ajah",JOA Homes
"N110,000,000",Lovely 3br Luxury Apartment with a Bq (Offplan) 70%,3,4,Ikoyi,Stephens Aims Real Estate Ltd
"N70,000,000",Littoral Contemporary Luxury Apartment and Towers (Offplan),3,4,"Oniru, Victoria Island",Stephens Aims Real Estate Ltd
"N22,207,500",Newly Built 3 Bedroom Semidetached Bungalows,3,3,"Beechwood Estate, Bogije, Ibeju Lekki, Ajah",JOA Homes
"N65,000,000",22 Units Of 3 Bedroom Flats For Sale In Lekki Right,3,3,"Lekki, Lekki Phase 1, Lekki",Ben Chika and Co
"N130,000,000",Lovely Block Of 3 Bedroom Flats For Sale In Ikeja,3,3,"Off Allen Avenue, Ikeja , Ikeja",Femi Akinlusi and Co
